price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
4650000000,77500000,0.0,1.0,1.0,24,3.0,60.0
10900000000,125287000,1.0,1.0,1.0,64,2.0,87.0
5500000000,88709000,1.0,1.0,0.0,65,4.0,62.0
3000000000,49180000,0.0,0.0,1.0,66,4.0,61.0
9900000000,130263000,1.0,1.0,1.0,68,3.0,76.0
9500000000,85585000,1.0,1.0,1.0,69,4.0,111.0
1300000000,28260000,0.0,1.0,1.0,4,1.0,46.0
4400000000,69841000,1.0,0.0,1.0,21,2.0,62.0
4350000000,108750000,0.0,0.0,1.0,70,2.0,40.0
3900000000,59090000,0.0,0.0,1.0,24,1.0,66.0
10400000000,140540000,1.0,1.0,1.0,71,3.0,74.0
7200000000,51428000,1.0,1.0,1.0,72,30.0,140.0
13900000000,185333000,1.0,1.0,1.0,35,10.0,75.0
4750000000,76612000,1.0,1.0,1.0,39,2.0,62.0
29900000000,128326000,1.0,1.0,1.0,73,3.0,233.0
4400000000,59459000,0.0,0.0,1.0,52,4.0,74.0
5236000000,59500000,1.0,1.0,1.0,40,1.0,88.0
13000000000,134020000,1.0,1.0,1.0,36,3.0,97.0
21000000000,161538000,1.0,1.0,1.0,74,5.0,130.0
66600000000,450000000,1.0,1.0,1.0,75,6.0,148.0
8200000000,85416000,1.0,0.0,1.0,76,1.0,96.0
63200000000,400000000,1.0,1.0,1.0,75,9.0,179.0
8000000000,114285000,1.0,1.0,1.0,25,3.0,70.0
79000000000,438888000,1.0,1.0,1.0,75,7.0,180.0
139000000000,434375000,1.0,1.0,1.0,75,15.0,320.0
1600000000,30188000,1.0,1.0,1.0,3,2.0,53.0
3100000000,77500000,0.0,0.0,1.0,22,1.0,40.0
7000000000,84337000,0.0,0.0,0.0,6,1.0,83.0
15000000000,114503000,0.0,0.0,1.0,77,0.0,131.0
1500000000,12500000,1.0,1.0,1.0,11,1.0,120.0
26000000000,216666000,1.0,1.0,1.0,78,4.0,120.0
79000000000,478787000,1.0,1.0,1.0,75,4.0,165.0
7850000000,76960000,1.0,1.0,1.0,41,6.0,102.0
28000000000,186666000,1.0,1.0,1.0,63,2.0,150.0
8100000000,115714000,0.0,1.0,1.0,20,2.0,70.0
16000000000,117647000,1.0,1.0,1.0,25,4.0,136.0
12700000000,186764000,1.0,1.0,1.0,79,1.0,68.0
6590000000,99848000,1.0,1.0,1.0,80,4.0,66.0
5800000000,84057000,1.0,1.0,1.0,81,1.0,69.0
11000000000,95652000,1.0,1.0,1.0,82,1.0,115.0
6150000000,91791000,1.0,1.0,1.0,52,4.0,67.0
2700000000,62790000,0.0,0.0,1.0,24,2.0,43.0
30200000000,173563000,1.0,1.0,1.0,83,4.0,177.0
59000000000,229571000,1.0,1.0,1.0,84,2.0,257.0
2150000000,52439000,0.0,0.0,0.0,34,3.0,41.0
25000000000,161290000,1.0,1.0,1.0,85,5.0,155.0
5700000000,81428000,0.0,1.0,1.0,81,2.0,70.0
2800000000,57142000,0.0,0.0,1.0,87,2.0,49.0
9500000000,104395000,1.0,1.0,1.0,88,1.0,91.0
8850000000,118000000,1.0,1.0,1.0,68,5.0,75.0
17500000000,134615000,1.0,1.0,1.0,1,3.0,130.0
16500000000,141025000,1.0,1.0,1.0,3,3.0,117.0
3690000000,90000000,0.0,1.0,1.0,56,3.0,41.0
52000000000,260000000,1.0,1.0,1.0,78,7.0,200.0
9700000000,149230000,1.0,1.0,1.0,89,4.0,65.0
6900000000,69000000,0.0,0.0,1.0,22,0.0,100.0
13000000000,130000000,0.0,1.0,1.0,85,3.0,100.0
13500000000,122727000,0.0,1.0,1.0,31,1.0,110.0
21900000000,148979000,1.0,1.0,1.0,90,5.0,147.0
4950000000,78571000,1.0,1.0,1.0,21,4.0,63.0
2000000000,40000000,0.0,0.0,1.0,10,-1.0,50.0
7100000000,88750000,0.0,1.0,1.0,91,2.0,80.0
4700000000,92156000,0.0,1.0,1.0,92,2.0,51.0
3170000000,77317000,1.0,1.0,1.0,93,4.0,41.0
12350000000,86971000,1.0,1.0,1.0,94,4.0,142.0
12390000000,115794000,1.0,1.0,1.0,95,1.0,107.0
